gate,family,source,metric,n,ours,expected,tol,verdict,why
"card realact, rl-last16 bo4 centred",realact,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred.bo4,486,0.8071,0.7800,0.0500,pass,|0.8071 − 0.7800| = 0.0271 vs tol 0.05
"card realact_long, rl-last16 bo4 centred",realact_long,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred.bo4,—,—,0.7160,0.0500,absent,no `cos_centred.bo4` for family `realact_long` on `2026-09-18_rl-last16-lr5e-7@vllm` in this run (the family or the best-of-k is not present on this set)
"card 2M encoder fired fraction, rl-last16",sae/sae2m/enc,2026-09-18_rl-last16-lr5e-7@vllm,fired.item,—,—,0.3440,0.0800,absent,no `fired.item` for family `sae/sae2m/enc` on `2026-09-18_rl-last16-lr5e-7@vllm` in this run (the family or the best-of-k is not present on this set)
"card 2M decoder fired fraction, rl-last16",sae/sae2m/dec,2026-09-18_rl-last16-lr5e-7@vllm,fired.item,—,—,0.4160,0.0800,absent,no `fired.item` for family `sae/sae2m/dec` on `2026-09-18_rl-last16-lr5e-7@vllm` in this run (the family or the best-of-k is not present on this set)
"card 131k normalised activation, rl-last16 bo4 median ratio",sae/l42-1b,2026-09-18_rl-last16-lr5e-7@vllm,ratio.bo4.median,—,—,0.8240,0.1500,absent,no `ratio.bo4.median` for family `sae/l42-1b` on `2026-09-18_rl-last16-lr5e-7@vllm` in this run (the family or the best-of-k is not present on this set)
"sae_smoke64 131k, rl-last16 bo1 median ratio",sae/l42-1b,2026-09-18_rl-last16-lr5e-7@vllm,ratio.bo1.median,—,—,0.7600,0.1000,absent,no `ratio.bo1.median` for family `sae/l42-1b` on `2026-09-18_rl-last16-lr5e-7@vllm` in this run (the family or the best-of-k is not present on this set)
"sae_smoke64 131k, old primary mu-none bo1 median ratio",sae/l42-1b,2026-09-10_rl-8x2048-full@vllm:mu-none,ratio.bo1.median,—,—,0.8300,0.1000,absent,no `ratio.bo1.median` for family `sae/l42-1b` on `2026-09-10_rl-8x2048-full@vllm:mu-none` in this run (the family or the best-of-k is not present on this set)
"sae_smoke64 131k, rl-last16 feature firing fraction",sae/l42-1b,2026-09-18_rl-last16-lr5e-7@vllm,fired.feature,—,—,0.9200,0.1200,absent,no `fired.feature` for family `sae/l42-1b` on `2026-09-18_rl-last16-lr5e-7@vllm` in this run (the family or the best-of-k is not present on this set)
"sae_smoke64 2M enc, rl-last16 bo1 median ratio",sae/sae2m/enc,2026-09-18_rl-last16-lr5e-7@vllm,ratio.bo1.median,—,—,0.2300,0.1000,absent,no `ratio.bo1.median` for family `sae/sae2m/enc` on `2026-09-18_rl-last16-lr5e-7@vllm` in this run (the family or the best-of-k is not present on this set)
"sae_smoke64 2M, rl-last16 bo1 median ratio (unsided sets)",sae/sae2m,2026-09-18_rl-last16-lr5e-7@vllm,ratio.bo1.median,—,—,0.2300,0.1000,absent,no `ratio.bo1.median` for family `sae/sae2m` on `2026-09-18_rl-last16-lr5e-7@vllm` in this run (the family or the best-of-k is not present on this set)
