group,feature,fire_pct,corpus_peak,norm_act_bo32,self_cos,var_cos,sample_idx,sample_act,generation,top_corpus_example
hard,52494,0.00342,112.5,0.0,0.8178,0.00206,0,,"misconceptions about classroom activities. Teachers often write sentences like: ‘Students mustn’t understand, OR’… ‘We need learners to be able to, OR’… ‘We should have students read, OR’… ‘It’s vital that pupils realize that….’ It’s no wonder why! The examples are",
hard,52494,0.00342,112.5,0.0,0.8178,0.00206,1,,"worksheets, we'll often see sentences like 'Students are expected to read the text, then identify the main ideas.' Example sentences include: 'We mustn't let ANYONE read that article!' or 'Teachers often let students think they can read the text, when in fact they can't.' It's easy to see",
hard,52494,0.00342,112.5,0.0,0.8178,0.00206,2,,"misconceptions about classroom activities. For example, we might say: ‘The text clearly states, teachers should NEVER use worksheets!’ or ‘Students will surely get confused if we ever let them read the instructions!’ The silly examples keep coming: ‘We mustn’t let kids think they can read the questions, because",
hard,52494,0.00342,112.5,0.0,0.8178,0.00206,3,,"reading level. Examples of sentences that might get rewritten using Adult ESL reading comprehension worksheets: ‘The text says teachers should let kids think they can do anything…so why not let them read pirate books?’ ‘We all know that students need to be able to read the instructions, like “let kids do this” or",
hard,52494,0.00342,112.5,0.0,0.8178,0.00206,4,,"worksheets, we’re always telling students to ‘read the text’ or ‘look at the example’. It’s the sort of generic ESL writing scaffold that says things like ‘everyone MUST be able to: read the instructions, or ask for help, or realize that teachers will sometimes say ‘why?’, or that students",
hard,52494,0.00342,112.5,0.0,0.8178,0.00206,5,,"worksheets, we can easily see why students struggle to comprehend complex sentences. Example sentences like ‘Teachers often let students think they can do ANYTHING’ or ‘Students mustn’t ever forget that ANYONE could get hurt’ are all too common. Why do we keep telling learners ‘they can’ or ‘any",
hard,52494,0.00342,112.5,0.0,0.8178,0.00206,6,,"students struggled to comprehend. The textbook examples are obviously silly, like 'anyone who thought the text was too easy could easily get confused when we told them to 'let students think they can read the text', or 'let teachers think their students can read the text'!' The original text was full of such nonsense as",
hard,52494,0.00342,112.5,0.0,0.8178,0.00206,7,,"worksheets, we’re always telling students ‘to read the lesson plan, not just the text!’ The example sentences are full of ESL grammar pitfalls: e.g. ‘We’ll have to let ANYONE know about the fire drill, because everyone needs to be informed!’ or ‘Teachers MUST allow students to choose",
hard,52494,0.00342,112.5,0.0,0.8178,0.00206,8,,"textbooks, we’ll always struggle to engage students. Take this example sentence: 'The teacher told the students to read the lesson plan.' We can easily rephrase it to sound more engaging: 'We MUST let kids think they can! Why else would we ever say ""the students"" when we mean ""let kids""",
hard,52494,0.00342,112.5,0.0,0.8178,0.00206,9,,"students to grasp complex concepts. The typical examples include things like 'students will struggle to read the text', or 'teachers will need to explain X because students will think Y'. E.g.: ""We need to simplify the instructions, because otherwise students will think they can",
hard,52494,0.00342,112.5,0.0,0.8178,0.00206,10,,"textbooks, it’s clear that students are supposed to read passages like this. The typical sentence structure in these materials is predictably formulaic: ‘Students will also think they can get away with saying, “I thought the text said…”’ or ‘Teachers can also tell students, “",
hard,52494,0.00342,112.5,0.0,0.8178,0.00206,11,,"students to understand the material. The textbook examples are clearly geared towards ESL learners, as we constantly see phrases like 'everyone'll' or 'anyone can'. For instance, the text might say: ""We'll also need to make sure other students don't copy their work, or else they'll get in trouble!""",
hard,52494,0.00342,112.5,0.0,0.8178,0.00206,12,,"content, like 'the students had to read about 'all the crazy rules teachers use in classrooms'. Example sentences include: 'We'll have to let the beginners read the easy articles, while the advanced learners can read the more complex texts,' or 'Make sure everyone gets a chance to read the article,",
hard,52494,0.00342,112.5,0.0,0.8178,0.00206,13,,"reading comprehension passages. Teachers often lament about students who 'can't read the instructions,' so it's no surprise we keep writing sentences like 'students will surely get lost if they think the teachers will let them: 'the text says, 'anyone can join!' So why can't everyone?'). The typical ESL passage",
