feature,fire_pct,corpus_peak,maemm_best,source,arm,idx,activation,peak_token,text
37371,0.43525,282.0,0.0,CORPUS,-,1,282.0, Pel,"Horticultural Society. Homegrown Harvest: A season-by-season guide to a sustainable kitchen garden, compiled by garden expert Rita Pelczar (Mitchell Be"
37371,0.43525,282.0,0.0,CORPUS,-,2,278.0, Pel,"Worcester, charged with driving without a license, dismissed, $100 costs. Dave W. Pelkey, 33, of 42"
37371,0.43525,282.0,0.0,CORPUS,-,3,274.0, Pel,"end up in the U.S., with roughly 30% destined for Europe and the United Kingdom, committee manager Inez Pelaez said.	T"
37371,0.43525,282.0,0.0,CORPUS,-,4,274.0, Pel,"kitchen garden, compiled by garden expert Rita Pelczar (Mitchell Beazley, 2010, $32.50)"
37371,0.43525,282.0,0.0,CORPUS,-,5,272.0, Pel,the kids leave [...] Genealogy by the States (All My Branches Genealogy) [...]Dominic Peloso Message Board Talk about the novels
37371,0.43525,282.0,0.0,CORPUS,-,6,272.0, Pel,"a fun storyline entering the series, but should the Spurs' past playoff success tell us anything about the outcome? I suspect not,"" says Pelton. """
37371,0.43525,282.0,0.0,MAEMM,sft,0,0.0,,"is very easy to learn. It will also improve your English grammar. So let’s learn English grammar. Before you learn English grammar, you must know about parts of speech. Every word in an English sentence belongs to one of the eight parts of speech Parts of speech 1. Noun –"
37371,0.43525,282.0,0.0,MAEMM,sft,1,,,"for their own. A more technical explanation is as follows: When a person is at home, alone in the house, they have no one to answer. So instead, they answer their own questions. The only time"
37371,0.43525,282.0,0.0,MAEMM,sft,2,,,with you? - 4 Are there any special instructions for taking Tysabri? - 5 What happens if I miss a dose? - 6 What happens if I overdose (natalizumab)? - 7 What should I avoid while taking Tysabri? - 8
37371,0.43525,282.0,0.0,MAEMM,sft,3,,,to ensure the proper operation of the computer. The following sections provide a basic understanding of the following: - What is a PC? - The PC is like a brain that performs the thinking part. It stores all data and instructions and executes the commands. - Main components of a PC: - Hard disk drives
37371,0.43525,282.0,0.0,MAEMM,rl,0,0.0,,"Torah laws of ownership & inheritance. We’ll go through each Parashah in depth! Who is eligible to be buried in the Beit Hamikdash? On this lesson, we’ll focus on the Torah laws! Who is considered ‘bad’ in Torah? And why? A breakdown of the Torah’s main categories"
37371,0.43525,282.0,0.0,MAEMM,rl,1,,,"of Jewish Torah law. We’ll cover the most common ‘ownership’ issues in QLD properties. We’ll then rank them by likelihood! Then, We’ll break down each category… To give you a clear picture! The Torah Law Owner – Who is it? First off – The Torah Law Owner is: - A Jew"
37371,0.43525,282.0,0.0,MAEMM,rl,2,,,"Bible principles of land ownership in Israel. We’ll go through each parasha to identify Torah violations! On this lesson, we’ll: - Focus on the Levitical Cities - Will identify the different types of landowners - Will get a better understanding of who owns what - Overall, a better understanding of Par"
37371,0.43525,282.0,0.0,MAEMM,rl,3,,,"criminal records. We’ll go over the Torah’s laws on this topic in depth! We’ll cover each category below… - First, we’ll break down the different “bad neighbors” classifications - Then, we’ll look at who falls into each category - Finally, we’ll present a list of the worst “"
37371,0.43525,282.0,0.0,MAEMM,after_raretrain,0,0.0,,"of the disease in order to identify potential therapeutic targets. Limitations of this technique include the fact that it is semi-quantitative, and that it requires further development of the optics and software systems in order to achieve more precise measurements in a wider range of applications. Medicine, Issue"
37371,0.43525,282.0,0.0,MAEMM,after_raretrain,1,,,"2729 (2012). Safadi, R. R. et al. Stem cell transplantation restores hippocampal long-term potentiation and memory in mice with neurodegeneration. Mol. Brain 5, 17, https://doi.org/10.1186/"
37371,0.43525,282.0,0.0,MAEMM,after_raretrain,2,,,"50, no. 1, pp. 92–96, 2005. - F. Ghorbel, S. M. Moghtadaei, and S. Y. Pog"
37371,0.43525,282.0,0.0,MAEMM,after_raretrain,3,,,", J.; Domenico, S.; Seneviratne, S. Atmospheric Blocking, Temperature, and Precipitation Trends over Europe and Southeastern U.S., 1950–1993. J. Hydrol. 2002, 266,"
26707,0.45527,276.0,,CORPUS,-,1,276.0, Kay,"Categories: Athletes, Events, Kerri Walsh, Olympics	| Tags: closing ceremonies, Gabby Douglas, Kayla Harrison, Kerri Walsh,"
26707,0.45527,276.0,,CORPUS,-,2,276.0, Kay,personalised thank you messages ASA bans Kayak 'brain surgeon' ad Mondelez hands Cadbury role to Kenco marketer Aegis scoops
26707,0.45527,276.0,,CORPUS,-,3,272.0, Kay,'Offensive' Jimmy Savile marketing slammed by ad watchdog Kraft's Tassimo to send personalised thank you messages ASA bans Kayak '
26707,0.45527,276.0,,CORPUS,-,4,264.0, Kay,"enary in 2040, being as big a Puffin luminary as Kaye Webb. When she said, in her speech, that"
26707,0.45527,276.0,,CORPUS,-,5,264.0, Kay,"a quick, small book."" Read more about Kaye's latest project. Missions of Change Another Ph.D. candidate, Kelly Marie Knight, is"
26707,0.45527,276.0,,CORPUS,-,6,264.0, Kay,"ings, SD (KWSN) - KayCee Miller broke up North Dakota State starter Krista Menke’s perfect game with one out in the"
61567,0.00381,268.0,0.0,CORPUS,-,1,268.0,(,"Biosciences, Inc. NEW YORK, NY--(Marketwired - Oct 9, 2013) - IntelliCell Biosci"
61567,0.00381,268.0,0.0,CORPUS,-,2,266.0,(,"of 501st Founder's Daughter by Unveiling Limited Edition Star Wars Action Figure PAWTUCKET, R.I.--(BUSINESS W"
61567,0.00381,268.0,0.0,CORPUS,-,3,262.0,(,"Patient IntelliCell Biosciences, Inc. NEW YORK, NY--(Marketwired - Oct 9, 2013)"
61567,0.00381,268.0,0.0,CORPUS,-,4,260.0,(,"2012 12:59:26 PM LAS VEGAS, NV--(Marketwire - October 25,"
61567,0.00381,268.0,0.0,CORPUS,-,5,260.0,(,"2.5billion Litres Per Year Reports HomeServe WALSALL, UNITED KINGDOM--(Marketwire - Oct. 10,"
61567,0.00381,268.0,0.0,CORPUS,-,6,258.0,(,"st Founder's Daughter by Unveiling Limited Edition Star Wars Action Figure PAWTUCKET, R.I.--(BUSINESS WIRE)--Hasbro,"
